Dayot Upamecano,Abwehr,19,RB Leipzig
Bruma,Mittelfeld,23,RB Leipzig
Massimo Bruno,Mittelfeld,24,RB Leipzig
Diego Demme,Mittelfeld,26,RB Leipzig
Emil Forsberg,Mittelfeld,26,RB Leipzig
Stefan Ilsanker,Mittelfeld,29,RB Leipzig
Kevin Kampl,Mittelfeld,27,RB Leipzig
Marcel Sabitzer,Mittelfeld,24,RB Leipzig
Jean-Kevin Augustin,Sturm,21,RB Leipzig
Matheus Cunha,Sturm,19,RB Leipzig
Yussuf Poulsen,Sturm,24,RB Leipzig
Timo Werner,Sturm,22,RB Leipzig
Lukas Hradecky,Torwart,28,Bayer 04 Leverkusen
Thorsten Kirschbaum,Torwart,31,Bayer 04 Leverkusen
Tomasz Kucz,Torwart,19,Bayer 04 Leverkusen
Ramazan Özcan,Torwart,34,Bayer 04 Leverkusen
Jakub Bednarczyk,Abwehr,19,Bayer 04 Leverkusen
Sven Bender,Abwehr,29,Bayer 04 Leverkusen
Aleksandar Dragovic,Abwehr,27,Bayer 04 Leverkusen
Benjamin Henrichs,Abwehr,21,Bayer 04 Leverkusen
Tin Jedvaj,Abwehr,22,Bayer 04 Leverkusen
Panagiotis Retsos,Abwehr,19,Bayer 04 Leverkusen
Jonathan Tah,Abwehr,22,Bayer 04 Leverkusen
Mitchell Weiser,Abwehr,24,Bayer 04 Leverkusen
Wendell,Abwehr,25,Bayer 04 Leverkusen
Charles Aranguiz,Mittelfeld,29,Bayer 04 Leverkusen
Leon Bailey,Mittelfeld,20,Bayer 04 Leverkusen
Julian Baumgartlinger,Mittelfeld,30,Bayer 04 Leverkusen
Karim Bellarabi,Mittelfeld,28,Bayer 04 Leverkusen
Lars Bender,Mittelfeld,29,Bayer 04 Leverkusen
Julian Brandt,Mittelfeld,22,Bayer 04 Leverkusen
Kai Havertz,Mittelfeld,19,Bayer 04 Leverkusen
Dominik Kohr,Mittelfeld,24,Bayer 04 Leverkusen
Paulinho,Mittelfeld,18,Bayer 04 Leverkusen
Sam Schreck,Mittelfeld,19,Bayer 04 Leverkusen
Lucas Alario,Sturm,25,Bayer 04 Leverkusen
Chinedu Ekene,Sturm,19,Bayer 04 Leverkusen
Joel Pohjanpalo,Sturm,23,Bayer 04 Leverkusen
Kevin Volland,Sturm,26,Bayer 04 Leverkusen
René Adler,Torwart,33,1. FSV Mainz 05
Jannik Huth,Torwart,24,1. FSV Mainz 05
Florian Müller,Torwart,20,1. FSV Mainz 05
Robin Zentner,Torwart,23,1. FSV Mainz 05
Stefan Bell,Abwehr,26,1. FSV Mainz 05
Daniel Brosinski,Abwehr,30,1. FSV Mainz 05
Niko Bungert,Abwehr,31,1. FSV Mainz 05
Gaetan Bussmann,Abwehr,27,1. FSV Mainz 05
Giulio Donati,Abwehr,28,1. FSV Mainz 05
Alexander Hack,Abwehr,24,1. FSV Mainz 05
Phillipp Mwene,Abwehr,24,1. FSV Mainz 05
Moussa Niakhaté,Abwehr,22,1. FSV Mainz 05
Ridle Baku,Mittelfeld,20,1. FSV Mainz 05
Pablo De Blasis,Mittelfeld,30,1. FSV Mainz 05
Jean-Philippe Gbamin,Mittelfeld,22,1. FSV Mainz 05
Gerrit Holtmann,Mittelfeld,23,1. FSV Mainz 05
José Rodriguez,Mittelfeld,23,1. FSV Mainz 05
Kunde,Mittelfeld,23,1. FSV Mainz 05
Danny Latza,Mittelfeld,28,1. FSV Mainz 05
Alexandru Maxim,Mittelfeld,28,1. FSV Mainz 05
Karim Onisiwo,Mittelfeld,26,1. FSV Mainz 05
Levin Öztunali,Mittelfeld,22,1. FSV Mainz 05
Emil Berggreen,Sturm,25,1. FSV Mainz 05
Jean-Philippe Mateta,Sturm,21,1. FSV Mainz 05
Yoshinori Muto,Sturm,26,1. FSV Mainz 05
Robin Quaison,Sturm,24,1. FSV Mainz 05
Aaron Seydel,Sturm,22,1. FSV Mainz 05
Anthony Ujah,Sturm,27,1. FSV Mainz 05
Moritz Nicolas,Torwart,20,Bor. Mönchengladbach
Tobias Sippel,Torwart,30,Bor. Mönchengladbach
Yann Sommer,Torwart,29,Bor. Mönchengladbach
Louis Jordan Beyer,Abwehr,18,Bor. Mönchengladbach
Mamadou Doucouré,Abwehr,20,Bor. Mönchengladbach
Nico Elvedi,Abwehr,21,Bor. Mönchengladbach
Matthias Ginter,Abwehr,24,Bor. Mönchengladbach
Tony Jantschke,Abwehr,28,Bor. Mönchengladbach
Michael Lang,Abwehr,27,Bor. Mönchengladbach
