Konstantinos Stafylidis,Abwehr,25,TSG Hoffenheim
Kevin Vogt,Abwehr,27,TSG Hoffenheim
Nadiem Amiri,Mittelfeld,22,TSG Hoffenheim
Christoph Baumgartner,Mittelfeld,20,TSG Hoffenheim
Leonardo Bittencourt,Mittelfeld,25,TSG Hoffenheim
Joshua Brenet,Mittelfeld,25,TSG Hoffenheim
Dennis Geiger,Mittelfeld,21,TSG Hoffenheim
Vincenzo Grifo,Mittelfeld,26,TSG Hoffenheim
Florian Grillitsch,Mittelfeld,23,TSG Hoffenheim
Pavel Kaderabek,Mittelfeld,27,TSG Hoffenheim
Philipp Ochs,Mittelfeld,22,TSG Hoffenheim
Lukas Rupp,Mittelfeld,28,TSG Hoffenheim
Steven Zuber,Mittelfeld,27,TSG Hoffenheim
Robert Zulj,Mittelfeld,27,TSG Hoffenheim
Sargis Adamyan,Sturm,26,TSG Hoffenheim
Ihlas Bebou,Sturm,25,TSG Hoffenheim
Ishak Belfodil,Sturm,27,TSG Hoffenheim
Andrej Kramaric,Sturm,28,TSG Hoffenheim
Adam Szalai,Sturm,31,TSG Hoffenheim
Timo Horn,Tor,26,1. FC Köln
Thomas Kessler,Tor,33,1. FC Köln
Julian Krahl,Tor,19,1. FC Köln
Brady Scott,Tor,20,1. FC Köln
Matthias Bader,Abwehr,22,1. FC Köln
Rafael Czichos,Abwehr,29,1. FC Köln
Kingsley Ehizibue,Abwehr,24,1. FC Köln
Jonas Hector,Abwehr,29,1. FC Köln
Jannes Horn,Abwehr,22,1. FC Köln
Ismail Jakobs,Abwehr,19,1. FC Köln
Meré Jorge,Abwehr,22,1. FC Köln
Noah Katterbach,Abwehr,18,1. FC Köln
Benno Schmitz,Abwehr,24,1. FC Köln
Lasse Sobiech,Abwehr,28,1. FC Köln
Frederik Sörensen,Abwehr,27,1. FC Köln
Darko Churlinov,Mittelfeld,19,1. FC Köln
Christian Clemens,Mittelfeld,27,1. FC Köln
Dominick Drexler,Mittelfeld,29,1. FC Köln
Niklas Hauptmann,Mittelfeld,23,1. FC Köln
Marco Höger,Mittelfeld,29,1. FC Köln
Florian Kainz,Mittelfeld,26,1. FC Köln
Vincent Koziello,Mittelfeld,23,1. FC Köln
Salih Özcan,Mittelfeld,21,1. FC Köln
Marcel Risse,Mittelfeld,29,1. FC Köln
Louis Schaub,Mittelfeld,24,1. FC Köln
Kingsley Schindler,Mittelfeld,26,1. FC Köln
Birger Verstraete,Mittelfeld,25,1. FC Köln
Jhon Cordoba,Sturm,26,1. FC Köln
Anthony Modeste,Sturm,31,1. FC Köln
Simon Terodde,Sturm,31,1. FC Köln
Peter Gulacsi,Tor,29,RB Leipzig
Yvon Mvogo,Tor,25,RB Leipzig
Ethan Ampadu,Abwehr,18,RB Leipzig
Marcel Halstenberg,Abwehr,27,RB Leipzig
Lukas Klostermann,Abwehr,23,RB Leipzig
Ibrahima Konaté,Abwehr,20,RB Leipzig
Konrad Laimer,Abwehr,22,RB Leipzig
Luan Candido,Abwehr,18,RB Leipzig
Nordi Mukiele,Abwehr,21,RB Leipzig
Willi Orban,Abwehr,26,RB Leipzig
Marcelo Saracchi,Abwehr,21,RB Leipzig
Dayot Upamecano,Abwehr,20,RB Leipzig
Tyler Adams,Mittelfeld,20,RB Leipzig
Mads Bidstrup,Mittelfeld,18,RB Leipzig
Diego Demme,Mittelfeld,27,RB Leipzig
Emil Forsberg,Mittelfeld,27,RB Leipzig
Amadou Haidara,Mittelfeld,21,RB Leipzig
Stefan Ilsanker,Mittelfeld,30,RB Leipzig
Kevin Kampl,Mittelfeld,28,RB Leipzig
